,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania przednie,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja automatyczna,Kurtyny powietrzne,Relingi dachowe,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Czujniki parkowania tylne,Elektryczne szyby tylne,Gniazdo USB,Klimatyzacja dwustrefowa,Nawigacja GPS,System Start-Stop,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Isofix,Komputer pokładowy,Podgrzewane lusterka boczne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,Kraj pochodzenia,Elektrycznie ustawiane fotele,Poduszki boczne przednie,Przyciemniane szyby,Tapicerka skórzana,Hak,MP3,Podgrzewane przednie siedzenia,Wersja,Emisja CO2,VAT marża,Pierwszy właściciel,Bezwypadkowy,Podgrzewana przednia szyba,Faktura VAT,Tempomat aktywny,Alarm,Asystent pasa ruchu,Czujnik martwego pola,Łopatki zmiany biegów,Ogranicznik prędkości,Poduszki boczne tylne,Tapicerka welurowa,Gniazdo SD,Poduszka powietrzna chroniąca kolana,Światła LED,Zmieniarka CD,Perłowy,Leasing,Odtwarzacz DVD,Kamera cofania,Klimatyzacja manualna,Światła Xenonowe,Kierownica po prawej (Anglik),Filtr cząstek stałych,Uszkodzony,Akryl (niemetalizowany),Asystent parkowania,Podgrzewane tylne siedzenia,Klimatyzacja czterostrefowa,Dach panoramiczny,HUD (wyświetlacz przezierny),Tuner TV,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Regulowane zawieszenie,Szyberdach,Ogrzewanie postojowe,Gwarancja dealerska (w cenie),lub do (przebieg km),Radio niefabryczne,Matowy,Okres gwarancji producenta,Homologacja ciężarowa,Tuning,VIN
342,49000,"09:25, 19 lutego 2021",6078550906,Osoby prywatnej,Osobowe,Volkswagen,Passat,B8 (2014-),2015,192 000 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,5,Szary,Tak,,,,Tak,,Używane,True,True,True,True,True,True,,True,True,True,,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,Belgia,True,True,True,True,True,,True,2.0 TDI BMT Comfortline,,,,Tak,,,,,True,True,,,True,,,True,,,,,,True,,,,Tak,,,True,,,,,,,,,,,,,,,,,,,,
343,69900,"09:25, 19 lutego 2021",6082263835,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2017,64 933 km,1 798 cm3,Benzyna,180 KM,Manualna,Na przednie koła,Sedan,4,5,Niebieski,Tak,Tak,12/12/2017,PO9EK04,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,Polska,,True,,,,,,,,,Tak,,,Tak,,,,,,,,,True,True,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,71955,"09:24, 19 lutego 2021",6082449520,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2018,68 944 km,1 798 cm3,Benzyna,180 KM,Manualna,Na przednie koła,Auta miejskie,4,5,Niebieski,,,,,,,Używane,True,,,True,,,,,,,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,87777,"09:23, 19 lutego 2021",6082263819,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2018,34 689 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,4,5,Czarny,Tak,,,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,Niemcy,True,True,True,,,True,True,2.0 TDI SCR Comfortline,,Tak,Tak,Tak,True,,True,True,True,True,,,True,True,True,True,,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,
346,5400,"09:20, 19 lutego 2021",6080553475,Firmy,Osobowe,Volkswagen,Passat,B5 (1996-2000),1999,285 890 km,1 595 cm3,Benzyna+LPG,100 KM,Manualna,,Kombi,5,5,Czerwony,,,,,Tak,,Używane,True,True,True,True,,,,,True,,True,True,,True,True,,,,True,,,,,,True,True,True,,,,,,,,,,Niemcy,,True,True,,,,,1.6 Comfortline,,Tak,,Tak,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,19999,"09:15, 19 lutego 2021",6082263676,Firmy,Osobowe,Volkswagen,Passat,B6 (2005-2010),2009,182 000 km,1 390 cm3,Benzyna,122 KM,Manualna,Na przednie koła,Sedan,4,5,Szary,Tak,,,,Tak,Tak,Używane,True,True,True,True,,True,,,True,True,,True,True,True,True,,,True,True,,True,,,True,True,True,True,True,,,True,True,True,,,,Niemcy,True,True,,,,True,,1.4 TSI Comfortline,,Tak,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,5500,"09:11, 19 lutego 2021",6081782546,Osoby prywatnej,Osobowe,Volkswagen,Passat,B5 FL (2000-2005),2004,300 000 km,1 896 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,,01/09/2004,,Tak,,Używane,True,True,True,True,,,True,,True,,,True,,True,True,,True,,True,,,,,True,True,True,True,,,,True,,True,True,,,Niemcy,,,,,,,True,1.9 TDI Comfortline,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,79900,"09:08, 19 lutego 2021",6081119743,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2015,140 000 km,1 984 cm3,Benzyna,220 KM,Automatyczna,Na przednie koła,Sedan,4,5,Czarny,,,,WP9984H,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,True,True,True,True,,True,True,2.0 TSI BMT Highline DSG,145 g/km,,,Tak,True,,True,True,,,,True,True,,True,True,True,,Tak,,,,,,,,,,True,True,,,,,,,,,True,,,,,,,,,,
350,71900,"09:07, 19 lutego 2021",6080929440,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2017,157 075 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Czarny,,Tak,03/07/2017,,Tak,Tak,Używane,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,Niemcy,,True,True,,,,True,,,,Tak,Tak,,Tak,True,,True,,,,True,,,,True,,Tak,Tak,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,
351,117600,"08:40, 19 lutego 2021",6080253088,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2020,10 000 km,1 498 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Sedan,4,5,Szary,Tak,,18/09/2020,WS6608E,Tak,Tak,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,True,True,,True,Polska,True,True,,,,True,True,1.5 TSI EVO Business DSG,,,Tak,Tak,True,Tak,True,True,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,60 000 km,,,18/09/2023,,,
352,32000,"08:40, 19 lutego 2021",6074926646,Firmy,Osobowe,Volkswagen,Passat,B7 (2010-2014),2014,190 000 km,1 598 cm3,Diesel,105 KM,Manualna,,Kombi,5,,Brązowy,,,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,8300,"08:29, 19 lutego 2021",6082448288,Firmy,Osobowe,Volkswagen,Passat,B5 FL (2000-2005),2003,330 000 km,2 771 cm3,Benzyna,193 KM,Automatyczna,4x4 (dołączany automatycznie),Kombi,5,5,Czarny,,,,,,,Używane,True,True,True,True,,,True,,True,,,True,True,True,True,True,True,True,True,,,True,True,,True,True,True,True,,True,True,,True,True,,,Niemcy,,True,,True,,,True,2.8 V6 4Mot Highline Tiptr,,,,,,,,True,,,,,True,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
354,122000,"08:25, 19 lutego 2021",6075160491,Firmy,Osobowe,Volkswagen,Passat,B8 (2014-),2019,40 461 km,1 968 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Sedan,4,5,Czarny,Tak,Tak,16/04/2019,KRA 9083R,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Polska,True,True,True,True,,True,True,2.0 TDI BMT Trendline DSG7,,,Tak,Tak,True,Tak,,True,True,True,True,,True,,True,True,,,,Tak,True,True,,True,,Tak,,,True,,True,,True,,,,,,,,,,,,,,,,
355,63900,"08:23, 19 lutego 2021",6081003226,Firmy,Osobowe,Volkswagen,Passat,,2017,149 844 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,Tak,06/02/2017,WI791FP,Tak,Tak,Używane,True,True,True,True,True,,True,True,True,,True,,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Polska,,,,,,,,,,,Tak,Tak,,Tak,,,,,,True,,,,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,7200,"08:19, 19 lutego 2021",6081051766,Osoby prywatnej,Osobowe,Volkswagen,Passat,B5 FL (2000-2005),2003,204 358 km,1 896 cm3,Diesel,100 KM,Manualna,Na przednie koła,Kombi,4,5,Szary,,,,,Tak,,Używane,True,True,True,,,,,,True,,,,,,True,,,,,,,,,,True,True,True,,,True,True,,,,True,,,,True,True,,,,True,1.9 TDI Basis,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,46500,"08:17, 19 lutego 2021",6082128238,Osoby prywatnej,Osobowe,Volkswagen,Passat,B7 (2010-2014),2014,105 000 km,1 968 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,Sedan,4,5,Brązowy,Tak,,12/03/2015,SK573GG,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,,,,True,,2.0 TDI Comfortline DSG,135 g/km,,,,,Tak,,True,,,True,,True,True,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
