,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Kraj pochodzenia,Numer rejestracyjny pojazdu,Bezwypadkowy,Serwisowany w ASO,Stan,Klimatyzacja manualna,Emisja CO2,Zarejestrowany w Polsce,Pierwszy właściciel,ABS,Elektryczne szyby przednie,Poduszka powietrzna pasażera,Alarm,ESP (stabilizacja toru jazdy),Podgrzewana przednia szyba,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,CD,Immobilizer,Radio fabryczne,Bluetooth,Gniazdo AUX,Komputer pokładowy,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła LED,Tempomat,Centralny zamek,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujniki parkowania tylne,Isofix,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Przyciemniane szyby,Światła przeciwmgielne,Wielofunkcyjna kierownica,VAT marża,Pierwsza rejestracja,Elektrycznie ustawiane lusterka,Poduszka powietrzna chroniąca kolana,Możliwość finansowania,Faktura VAT,Asystent pasa ruchu,Czujniki parkowania przednie,Klimatyzacja automatyczna,Łopatki zmiany biegów,Alufelgi,Czujnik deszczu,Elektryczne szyby tylne,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Asystent parkowania,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,Gniazdo USB,Kamera cofania,Filtr cząstek stałych,Perłowy,Leasing,Hak,Ogranicznik prędkości,Światła Xenonowe,Gniazdo SD,Nawigacja GPS,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,Odtwarzacz DVD,Relingi dachowe,Gwarancja dealerska (w cenie),Elektrycznie ustawiane fotele,Czujnik martwego pola,Podgrzewane tylne siedzenia,Tempomat aktywny,Tuner TV,Tapicerka skórzana,Miesięczna rata,Dach panoramiczny,Uszkodzony,Szyberdach,lub do (przebieg km),Klimatyzacja czterostrefowa,Ogrzewanie postojowe,Zmieniarka CD,Akryl (niemetalizowany),Radio niefabryczne,Regulowane zawieszenie,HUD (wyświetlacz przezierny),Matowy,Homologacja ciężarowa,Okres gwarancji producenta,Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Zarejestrowany jako zabytek,VIN
20,9600,"15:55, 7 lutego 2021",6082098056,Osoby prywatnej,Osobowe,Ford,S-Max,2.0 TDCi Ambiente,I (2006-2015),2007,274 150 km,1 997 cm3,Diesel,140 KM,Manualna,Na przednie koła,Minivan,5,5,Srebrny,Tak,Polska,,,,Używane,True,169 g/km,,,True,True,True,,,,,,,True,True,True,,,,,,,,True,True,,,,,,,,,Tak,15/06/2007,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,
21,23950,"15:55, 7 lutego 2021",6081719573,Firmy,Osobowe,Ford,Mondeo,,Mk4 (2007-2014),2009,169 000 km,2 000 cm3,Benzyna,145 KM,Manualna,Na przednie koła,Sedan,5,5,Czarny,Tak,,,,,Używane,,,,,True,True,True,True,True,True,,,True,True,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,Tak,,True,,,,,,True,,True,True,True,True,True,,,True,True,,,,,,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,54899,"15:54, 7 lutego 2021",6065681329,Firmy,Osobowe,Ford,Mondeo,2.0 TDCi Ambiente Plus,Mk5 (2014-),2015,168 000 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,5,5,Srebrny,Tak,Polska,BEZWYPADKOWY KRAJOWY-2.0,Tak,Tak,Używane,,,Tak,Tak,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,,10/06/2015,True,True,Tak,Tak,,,True,,,True,True,True,True,,,True,True,True,,,Tak,Tak,,True,,,,True,True,,,36 miesięcy,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,54900,"15:52, 7 lutego 2021",6081829958,Firmy,Osobowe,Ford,S-Max,2.0 TDCi Trend,II (2015-),2016,145 000 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kombi,5,7,Szary,Tak,Polska,WE378NT,Tak,Tak,Używane,,,Tak,Tak,True,True,True,,True,,True,True,,True,,True,True,,,,,,,True,True,True,,,True,,,,,,09/01/2017,,True,Tak,Tak,,,True,,,,True,,True,True,,,,True,,,,,,,,,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,46900,"15:52, 7 lutego 2021",6078088711,Firmy,Osobowe,Ford,Focus,,Mk3 (2010-),2017,103 063 km,1 499 cm3,Diesel,120 KM,Manualna,Na przednie koła,Kombi,5,5,Srebrny,Tak,Polska,,,,Używane,,,Tak,Tak,True,True,True,True,,True,True,True,,,True,True,,,True,True,,,True,True,True,True,True,True,True,True,,True,True,,01/08/2017,True,,Tak,Tak,,True,True,,,,True,True,,,True,,,True,,,,Tak,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,109900,"15:51, 7 lutego 2021",6080189424,Firmy,Osobowe,Ford,S-Max,2.0 TDCi ST-Line PowerShift,II (2015-),2018,44 100 km,1 997 cm3,Diesel,180 KM,Automatyczna,Na przednie koła,Minivan,5,7,Złoty,Tak,,,,Tak,Używane,,139 g/km,Tak,Tak,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,,06/04/2018,True,True,Tak,Tak,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,Tak,,True,,True,True,True,True,,True,,,True,,True,,,,True,,,,,,,,,,,,,,,,,,,,
26,84500,"15:51, 7 lutego 2021",6079163566,Firmy,Osobowe,Ford,Mondeo,2.0 Hybrid Titanium,Mk5 (2014-),2019,5 500 km,1 999 cm3,Hybryda,187 KM,Automatyczna,Na przednie koła,Sedan,4,5,Szary,Tak,,,,Tak,Używane,,,Tak,Tak,True,True,True,,True,True,True,True,,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,,True,True,,07/10/2019,True,True,Tak,Tak,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,Tak,,Tak,,True,,True,True,True,True,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,
27,7400,"15:51, 7 lutego 2021",6080268090,Firmy,Osobowe,Ford,Mondeo,2.2 TDCi Ghia,Mk3 (2000-2006),2005,254 000 km,2 198 cm3,Diesel,155 KM,Manualna,Na przednie koła,Kombi,5,5,Czarny,Tak,,,Tak,,Używane,,,,,True,True,True,True,True,True,True,,,True,True,True,,,True,True,True,,,True,True,True,,True,,True,,True,True,Tak,,True,,,,,,,,True,True,True,True,,,,,,,,,,,True,,,,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,23000,"15:51, 7 lutego 2021",6082097928,Osoby prywatnej,Osobowe,Ford,Focus,Turnier 1.6 TDCi DPF Start-Stopp-System,Mk3 (2010-),2011,240 600 km,1 560 cm3,Diesel,115 KM,Manualna,,Kompakt,5,,Inny kolor,Tak,,DWR 87771,Tak,,Używane,,109 g/km,Tak,Tak,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,,,True,True,True,True,True,True,True,,,True,True,,14/10/2011,True,,,,,,,,True,True,True,True,True,True,,True,,,,Tak,,,,,,True,True,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,15990,"15:51, 7 lutego 2021",6081644140,Osoby prywatnej,Osobowe,Ford,Fiesta,,Mk7 (2008-),2009,122 000 km,1 388 cm3,Benzyna,97 KM,Manualna,Na przednie koła,Auta miejskie,5,,Czarny,,Niemcy,,Tak,Tak,Używane,True,,,,True,True,True,,,,True,,True,True,True,True,,True,True,,,,,True,True,True,,True,,,,,,Tak,,True,True,,,,,,,,True,,,True,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
