,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Filtr cząstek stałych,Typ,Liczba drzwi,Liczba miejsc,Kolor,Akryl (niemetalizowany),Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Bluetooth,Czujniki parkowania tylne,Gniazdo AUX,Klimatyzacja dwustrefowa,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła LED,Tapicerka skórzana,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Isofix,Komputer pokładowy,Podgrzewane przednie siedzenia,Relingi dachowe,Światła przeciwmgielne,Tempomat,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Elektryczne szyby tylne,Klimatyzacja automatyczna,Kurtyny powietrzne,Poduszki boczne przednie,Światła do jazdy dziennej,Światła Xenonowe,Wielofunkcyjna kierownica,Metalik,Perłowy,Możliwość finansowania,Bezwypadkowy,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Hak,Alarm,Tapicerka welurowa,Gniazdo USB,Pierwszy właściciel,Klimatyzacja manualna,MP3,Poduszki boczne tylne,VAT marża,Kraj pochodzenia,Gniazdo SD,Ogrzewanie postojowe,Poduszka powietrzna chroniąca kolana,Asystent parkowania,Kamera cofania,Nawigacja GPS,Podgrzewana przednia szyba,Czujniki parkowania przednie,Odtwarzacz DVD,System Start-Stop,Faktura VAT,Leasing,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Ogranicznik prędkości,Asystent pasa ruchu,Czujnik martwego pola,lub do (przebieg km),Gwarancja dealerska (w cenie),Tuner TV,Dach panoramiczny,Szyberdach,Uszkodzony,Elektrycznie ustawiane fotele,Homologacja ciężarowa,Radio niefabryczne,Klimatyzacja czterostrefowa,Regulowane zawieszenie,Tempomat aktywny,Miesięczna rata,Podgrzewane tylne siedzenia,Łopatki zmiany biegów,Okres gwarancji producenta,Zmieniarka CD,Zarejestrowany jako zabytek,HUD (wyświetlacz przezierny),Kierownica po prawej (Anglik),Tuning,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,VIN,Matowy,Warranty if agreed with the buyer
20,11000,"17:57, 9 lutego 2021",6081471129,Osoby prywatnej,Osobowe,Opel,Meriva,1.7 CDTI Cosmo,I (2002-2010),2008,206 607 km,1 686 cm3,Diesel,125 KM,Manualna,Na przednie koła,146 g/km,,Minivan,5,5,Niebieski,,,Używane,True,True,True,True,True,True,,,True,True,,,True,,True,,,,True,True,True,,True,True,True,,True,,,True,True,,True,,,True,,,,,,,,True,,True,,,,True,,,,,,,,,,,,,,,,11/12/2008,GCZ67UT,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,,
21,30900,"17:56, 9 lutego 2021",6070871218,Osoby prywatnej,Osobowe,Opel,Insignia,,A (2008-2017),2011,107 000 km,1 956 cm3,Diesel,190 KM,Manualna,Na przednie koła,,Tak,Kombi,5,5,Czarny,,Tak,Używane,True,True,True,True,True,True,,True,True,True,,True,True,True,True,,True,,,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,Tak,,,Tak,Tak,,,,,,True,,,True,,,,,,,True,,True,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,14990,"17:53, 9 lutego 2021",6082171434,Firmy,Osobowe,Opel,Meriva,1.6 16V Easytronic,I (2002-2010),2009,147 000 km,1 598 cm3,Benzyna,105 KM,Manualna,Na przednie koła,159 g/km,,Minivan,5,5,Szary,,,Używane,True,True,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,,,True,Tak,,Tak,Tak,Tak,True,True,,True,True,,,,True,,Tak,Niemcy,,,,,,,,,,,,,23/06/2009,,,,,,3 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,
23,21000,"17:52, 9 lutego 2021",6082171436,Firmy,Osobowe,Opel,Meriva,1.4,II (2010-),2010,136 000 km,1 364 cm3,Benzyna,120 KM,Manualna,Na przednie koła,,,Auta miejskie,5,5,Srebrny,,,Używane,True,True,True,True,True,True,True,True,,True,,,True,True,True,True,,True,True,True,,,True,True,True,True,True,True,,,True,,True,True,,True,Tak,,,Tak,Tak,True,True,True,True,,True,,,True,True,Tak,Niemcy,,,,,,,,,,,,,,,,,,,12 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,
24,18900,"17:52, 9 lutego 2021",6081175426,Osoby prywatnej,Osobowe,Opel,Corsa,1.2 16V Color Edition,D (2006-2014),2012,123 000 km,1 229 cm3,Benzyna,70 KM,Manualna,Na przednie koła,124 g/km,,Auta miejskie,5,5,Zielony,,,Używane,True,True,True,True,,True,True,,,True,,True,True,True,True,True,True,True,,,True,,,,True,True,True,,True,,,,True,,,True,Tak,,,,,,True,,True,,,,True,,True,Tak,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,17900,"17:52, 9 lutego 2021",6080982578,Osoby prywatnej,Osobowe,Opel,Corsa,1.4 16V,D (2006-2014),2011,169 000 km,1 398 cm3,Benzyna,87 KM,Manualna,Na przednie koła,134 g/km,,Auta miejskie,5,5,Srebrny,,,Używane,True,,,,,,,,,,,,True,,,True,,,,,,,,,,,,True,,,,,,,,,Tak,,,Tak,,,,,,,,,,,,,Niemcy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,35900,"17:51, 9 lutego 2021",6080977523,Firmy,Osobowe,Opel,Meriva,,II (2010-),2016,56 000 km,1 598 cm3,Diesel,110 KM,Manualna,Na przednie koła,,,Minivan,5,5,Niebieski,,,Używane,True,True,True,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,Tak,,,,,,True,True,True,,True,,,True,True,,,,,,,True,,,True,,True,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,88888,"17:51, 9 lutego 2021",6081338100,Firmy,Osobowe,Opel,Vectra,,C (2002-2008),2005,270 000 km,1 997 cm3,Benzyna,175 KM,Manualna,Na przednie koła,,,Sedan,5,5,Szary,,,Używane,True,True,True,True,,,,True,,True,,,True,True,True,True,True,,True,,,,,True,True,True,True,True,,,,,,True,,,Tak,,,,Tak,,,True,True,,,Tak,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11500,"17:50, 9 lutego 2021",6081471047,Osoby prywatnej,Osobowe,Opel,Combo,1.7 CDTI,,2009,230 000 km,1 686 cm3,Diesel,100 KM,Manualna,,,,Minivan,5,,Srebrny,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,19500,"17:50, 9 lutego 2021",6082171256,Osoby prywatnej,Osobowe,Opel,Insignia,2.0 CDTI Automatik,A (2008-2017),2011,230 000 km,1 956 cm3,Diesel,160 KM,Automatyczna,Na przednie koła,149 g/km,,Kombi,5,5,Srebrny,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/05/2011,WE8283V,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
30,7500,"17:49, 9 lutego 2021",6081519124,Osoby prywatnej,Osobowe,Opel,Zafira,1.8 16V Comfort,A (1999-2005),2005,236 000 km,1 796 cm3,Benzyna,125 KM,Manualna,Na przednie koła,,,Minivan,5,7,Srebrny,,,Używane,True,True,True,,,,,,True,,,,True,True,True,True,,,,,True,True,,,True,True,True,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,39900,"17:49, 9 lutego 2021",6080650435,Firmy,Osobowe,Opel,Mokka,1.7 CDTI Cosmo,,2014,169 274 km,1 686 cm3,Diesel,130 KM,Automatyczna,Na przednie koła,139 g/km,,SUV,5,5,Biały,,,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,Tak,Tak,Tak,Tak,True,True,True,True,True,True,Tak,,True,True,Tak,,True,,True,True,True,True,,True,True,True,,Tak,,,True,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,
32,37900,"17:48, 9 lutego 2021",6081915573,Firmy,Osobowe,Opel,Mokka,1.7 CDTI Cosmo S&S 4x4,,2014,166 000 km,1 686 cm3,Diesel,130 KM,Manualna,4x4 (dołączany automatycznie),129 g/km,,SUV,5,5,Srebrny,,,Używane,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,Tak,,Tak,Tak,Tak,,True,,True,,True,,,,True,Tak,Francja,True,,,,True,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,10700,"17:48, 9 lutego 2021",6080921967,Osoby prywatnej,Osobowe,Opel,Meriva,1.6 16V,I (2002-2010),2007,131 800 km,1 598 cm3,Benzyna,105 KM,Manualna,Na przednie koła,159 g/km,,Minivan,5,5,Inny kolor,,,Używane,True,True,True,True,,,True,,,,,,True,True,True,,,,,True,True,,True,True,True,True,True,True,,,True,,True,,,True,Tak,,Tak,,,,True,,True,,,,,,,,Niemcy,,,,,,,,,,,,,09/12/2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,20500,"17:47, 9 lutego 2021",6082171037,Osoby prywatnej,Osobowe,Opel,Vivaro,,I (2001-2014),2014,330 000 km,1 598 cm3,Diesel,116 KM,Manualna,Na przednie koła,,,Minivan,4,9,Szary,,Tak,Używane,True,True,True,True,,,,,,True,,,True,True,True,,,,,True,,,,,True,True,True,,,,,,,,,True,Tak,,,,,,,,True,,,,True,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
35,25800,"17:47, 9 lutego 2021",6080282140,Osoby prywatnej,Osobowe,Opel,Astra,1.7 CDTI DPF Sports Tourer,J (2009-2015),2012,137 000 km,1 686 cm3,Diesel,125 KM,Manualna,Na przednie koła,,Tak,Kombi,5,5,Szary,,Tak,Używane,True,True,True,True,,True,True,,,True,,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,True,Tak,,,Tak,,,True,,,True,,,True,,,,Niemcy,,,,,,,,True,,,,,29/06/2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,9900,"17:45, 9 lutego 2021",6081338063,Firmy,Osobowe,Opel,Corsa,1.0 12V Cosmo,D (2006-2014),2006,152 000 km,998 cm3,Benzyna,60 KM,Manualna,Na przednie koła,,,Auta miejskie,3,5,Inny kolor,,,Używane,True,True,True,True,,,,,,,,,True,True,True,True,,,,True,,,,,True,True,True,True,,,,,True,,,True,Tak,,Tak,Tak,Tak,,True,,,,,Tak,True,True,,Tak,Niemcy,,,,,,,,,,,,,,,,,,,3 miesięcy,,,,,,,,,,,,,,,,,,,,,,,,,
