,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Zarejestrowany w Polsce,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik deszczu,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Poduszki boczne tylne,System Start-Stop,Światła przeciwmgielne,Tempomat aktywny,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Asystent pasa ruchu,Czujnik martwego pola,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tapicerka skórzana,Wielofunkcyjna kierownica,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Bluetooth,Czujnik zmierzchu,Elektrochromatyczne lusterko wsteczne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja automatyczna,Kurtyny powietrzne,Podgrzewane lusterka boczne,Poduszki boczne przednie,Relingi dachowe,Światła LED,Tempomat,Metalik,Możliwość finansowania,CD,Tapicerka welurowa,Hak,Podgrzewana przednia szyba,Zmieniarka CD,HUD (wyświetlacz przezierny),Ogranicznik prędkości,Odtwarzacz DVD,Faktura VAT,VAT marża,Łopatki zmiany biegów,Elektrochromatyczne lusterka boczne,Światła Xenonowe,Klimatyzacja manualna,Numer rejestracyjny pojazdu,Leasing,Miesięczna rata,Okres gwarancji producenta,Gwarancja dealerska (w cenie),Szyberdach,Klimatyzacja czterostrefowa,Dach panoramiczny,lub do (przebieg km),Tuner TV,Akryl (niemetalizowany),Regulowane zawieszenie,Filtr cząstek stałych,Radio niefabryczne,Matowy,Uszkodzony,Ogrzewanie postojowe,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Tuning,Homologacja ciężarowa,Podgrzewane tylne siedzenia,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik),VIN,Warranty if agreed with the buyer
20,17999,"11:11, 7 lutego 2021",6081802526,Osoby prywatnej,Osobowe,Toyota,Aygo,1.0 VVT-i Active,I (2005-2014),2014,149 000 km,998 cm3,Benzyna+LPG,68 KM,Manualna,Na przednie koła,106 g/km,Auta małe,5,4,Srebrny,,,,Tak,,Tak,,Używane,True,,True,,,,,,True,True,,,,,,,,True,True,True,,,,,,,,,,,,True,,,,True,True,True,,,,,,,,,True,,,,Tak,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,7970,"11:08, 7 lutego 2021",6082094397,Osoby prywatnej,Osobowe,Toyota,Yaris,1.3 Luna,I (1999-2005),2002,119 234 km,1 299 cm3,Benzyna,86 KM,Manualna,Na przednie koła,,Auta miejskie,5,5,Srebrny,Tak,Niemcy,03/05/2002,,,Tak,,Używane,True,,True,,,,,,,True,,,,,,,,True,True,True,,,,,,,,True,,,,,,,True,True,True,,,,,,,,,,True,,,,Tak,,True,True,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,41900,"10:59, 7 lutego 2021",6081840253,Osoby prywatnej,Osobowe,Toyota,Verso,1.8,,2013,150 000 km,1 798 cm3,Benzyna,147 KM,Manualna,Na przednie koła,162 g/km,Minivan,5,5,Inny kolor,Tak,Niemcy,20/06/2013,,,Tak,Tak,Używane,True,True,True,,,,True,True,True,True,True,True,True,,,True,,True,True,True,True,,,True,,,True,True,True,True,True,,,True,True,True,True,True,True,,,True,True,True,True,True,True,True,,True,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,108000,"10:57, 7 lutego 2021",6081815367,Osoby prywatnej,Osobowe,Toyota,Sienna,3.5 V6,,2015,150 000 km,3 456 cm3,Benzyna+LPG,266 KM,Automatyczna,Na przednie koła,,Minivan,5,7,Czarny,,Stany Zjednoczone,25/06/2020,Tak,Tak,,,Używane,True,True,True,True,,True,True,True,True,,,,True,True,,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,Tak,True,,,True,,,True,True,,Tak,,True,True,,BZA9N44,,,,,True,True,True,,,,,,,,,,,,,,,,,,,
24,56500,"10:51, 7 lutego 2021",6082094223,Osoby prywatnej,Osobowe,Toyota,Land Cruiser,3.0 D Sol,IV (2002-2009),2007,358 000 km,2 982 cm3,Diesel,173 KM,Manualna,4x4 (stały),243 g/km,SUV,5,8,Czarny,,,,,,Tak,Tak,Używane,True,True,True,True,True,True,,True,,,True,True,,True,,True,,True,True,True,True,,,True,,,,True,,True,True,True,,True,True,True,True,True,,True,True,True,True,,,True,True,True,,True,Tak,,True,True,True,True,,,True,,Tak,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,33500,"10:50, 7 lutego 2021",6081240050,Firmy,Osobowe,Toyota,Aygo,1.0 VVT-i X-play,II (2014-),2018,18 582 km,998 cm3,Benzyna,72 KM,Manualna,Na przednie koła,,Auta małe,3,4,Czerwony,,,29/05/2019,Tak,Tak,Tak,Tak,Używane,True,True,True,,,,,,True,True,,,,,,,,True,True,True,,,,,,,,True,,,,True,,True,True,True,True,True,True,,,True,True,,True,,True,,True,True,Tak,,,,,,,,,,Tak,,,,,True,,,,29/05/2022,,,,,100 000 km,,,,,,,,,,,,,,,,,,
26,9800,"10:41, 7 lutego 2021",6082093928,Osoby prywatnej,Osobowe,Toyota,Aygo,1.0 VVT-i Luna A/C,,2007,171 000 km,998 cm3,Benzyna,68 KM,Manualna,Na przednie koła,,Auta małe,5,4,Czarny,,Niemcy,,Tak,,Tak,,Używane,True,,,,,,,,,True,,True,,,,,,True,,True,,,,,,,,True,,,,,,,True,,True,,,,,True,,,,,True,,,,Tak,,True,,,,,,,,,Tak,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,134900,"10:35, 7 lutego 2021",6081097405,Osoby prywatnej,Osobowe,Toyota,Sienna,3.5 V6 XLE AWD,,2019,23 500 km,3 456 cm3,Benzyna,266 KM,Automatyczna,4x4 (dołączany automatycznie),,Minivan,5,7,Czarny,,Kanada,,Tak,,,,Używane,True,True,True,True,,True,,True,True,True,,,True,,,,,True,True,True,True,True,,True,True,,True,True,,True,True,,,True,True,True,True,True,True,True,True,True,True,True,,,True,True,,,Tak,,True,True,,True,,,,,,,,True,,,WPU46879,,,,,,True,,,True,,,,,,,,,,,,,,,,,
28,122987,"10:22, 7 lutego 2021",6073623748,Osoby prywatnej,Osobowe,Toyota,Proace Verso,2.0 D4-D Long Family,,2019,42 100 km,1 997 cm3,Diesel,150 KM,Manualna,Na przednie koła,147 g/km,Minivan,5,8,Czarny,,Polska,,Tak,Tak,Tak,Tak,Używane,True,True,True,True,,True,True,,True,True,,,,,True,True,,True,True,True,True,,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,,,,True,True,,,,True,,Tak,,,True,,,,,,05/05/2022,,,True,,1 000 000 km,,,,,,,,,,,,,,,,,,
29,32600,"10:03, 7 lutego 2021",6081454066,Osoby prywatnej,Osobowe,Toyota,Avensis,,III (2009-),2014,214 000 km,1 998 cm3,Diesel,124 KM,Manualna,Na przednie koła,,Sedan,4,5,Czarny,,Polska,,Tak,,,,Używane,True,True,True,,,True,,True,True,True,True,,,,,,,True,,True,True,,,,,,True,True,,,,,,True,True,True,True,,True,True,True,,,True,,,,,True,True,Tak,,True,,,,,,,,,,,,True,,,,,,,,,,214 000 km,,,,,,,,,,,,,,,,,,
