,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba miejsc,Kolor,Metalik,Perłowy,Kraj pochodzenia,Pierwsza rejestracja,Bezwypadkowy,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,Czujnik deszczu,Elektrochromatyczne lusterko wsteczne,Gniazdo AUX,Klimatyzacja dwustrefowa,Kurtyny powietrzne,Podgrzewane przednie siedzenia,Relingi dachowe,Światła Xenonowe,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik zmierzchu,Elektryczne szyby tylne,Hak,Klimatyzacja manualna,Ogranicznik prędkości,Poduszki boczne przednie,Światła do jazdy dziennej,Tapicerka welurowa,Centralny zamek,Immobilizer,Radio fabryczne,ASR (kontrola trakcji),Elektrochromatyczne lusterka boczne,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Komputer pokładowy,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła przeciwmgielne,Tempomat,Liczba drzwi,Możliwość finansowania,Faktura VAT,Leasing,Akryl (niemetalizowany),Serwisowany w ASO,Czujniki parkowania przednie,Isofix,Nawigacja GPS,Bluetooth,Czujniki parkowania tylne,Elektrycznie ustawiane fotele,Gniazdo SD,Odtwarzacz DVD,Poduszki boczne tylne,Światła LED,Tapicerka skórzana,Zmieniarka CD,Alufelgi,HUD (wyświetlacz przezierny),MP3,Podgrzewana przednia szyba,Poduszka powietrzna chroniąca kolana,Wersja,Emisja CO2,Gniazdo USB,System Start-Stop,Filtr cząstek stałych,Uszkodzony,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Dach panoramiczny,Kamera cofania,Asystent parkowania,Czujnik martwego pola,Szyberdach,Klimatyzacja czterostrefowa,Łopatki zmiany biegów,VAT marża,Gwarancja dealerska (w cenie),Asystent pasa ruchu,Regulowane zawieszenie,Radio niefabryczne,Tempomat aktywny,Tuning,Podgrzewane tylne siedzenia,lub do (przebieg km),Ogrzewanie postojowe,Tuner TV,Okres gwarancji producenta,Miesięczna rata,Opłata początkowa,Liczba pozostałych rat,Homologacja ciężarowa,Kierownica po prawej (Anglik),Wartość wykupu,Matowy,VIN,Zarejestrowany jako zabytek,
20,51900,"15:28, 6 stycznia 2021",6079670539,Firmy,Osobowe,Audi,A4,B8 (2007-2015),2012,198 000 km,1 968 cm3,Diesel,177 KM,Automatyczna,Na przednie koła,Sedan,5,Brązowy,Tak,,Niemcy,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,,True,True,4,,,,,Tak,True,True,,True,True,,,,True,True,True,True,True,,True,True,True,,,True,True,,,,,Tak,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
21,21500,"15:22, 6 stycznia 2021",6081098106,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2006,261 000 km,1 896 cm3,Diesel,115 KM,Manualna,Na przednie koła,Kombi,5,Czarny,Tak,,,,Tak,Używane,True,True,True,True,,True,,True,,True,True,True,,True,True,True,True,,,,,,,,,True,,,,,True,True,True,True,,True,True,5,,,,,,,,,,,,,,,,True,,True,,,,,Avant 1.9 TDI,157 g/km,,,,,,,,,,,,,,,Tak,,,,True,,,,,,,,,,,,,,,,,
22,38130,"15:09, 6 stycznia 2021",6081097919,Osoby prywatnej,Osobowe,Audi,A4,B8 (2007-2015),2012,202 869 km,1 968 cm3,Diesel,143 KM,Manualna,Na przednie koła,Kombi,5,Czerwony,Tak,,Polska,25/07/2012,Tak,Używane,True,True,True,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,5,,Tak,,,Tak,True,True,True,True,True,,True,True,True,,,True,True,,True,,,2.0 TDI,124 g/km,,True,,,,Tak,Tak,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,
23,21500,"14:59, 6 stycznia 2021",6081097699,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2005,257 200 km,2 967 cm3,Diesel,204 KM,Automatyczna,4x4 (dołączany automatycznie),Sedan,5,Czarny,Tak,,,,,Używane,True,True,True,True,True,True,,True,True,,,True,True,True,True,True,,,True,,,,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,4,,,,,,,True,True,,True,True,,,,,True,True,True,,True,,,3.0 TDI Quattro Tiptronic,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
24,16000,"14:39, 6 stycznia 2021",6080898080,Osoby prywatnej,Osobowe,Audi,A4,B7 (2004-2007),2005,308 527 km,1 968 cm3,Diesel,140 KM,Manualna,Na przednie koła,Kombi,5,Szary,Tak,,Niemcy,22/09/2010,,Używane,True,True,True,True,,,,True,True,True,True,True,True,True,True,True,True,,,,,,True,True,,True,True,True,True,,True,,True,True,,True,True,5,,,,,,,,True,,True,True,True,,,,True,,True,,,,,Avant 2.0 TDI,156 g/km,,,Tak,,WZ1001E,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,141649,"14:34, 6 stycznia 2021",6080213228,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,,1 984 cm3,Benzyna,150 KM,Automatyczna,Na przednie koła,Sedan,5,Biały,,,Polska,,Tak,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,Tak,Tak,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,164150,"14:04, 6 stycznia 2021",6079668171,Firmy,Osobowe,Audi,A4,B9 (2015-),2020,10 km,1 984 cm3,Benzyna,204 KM,Automatyczna,Na przednie koła,Sedan,5,Niebieski,Tak,,,,Tak,Nowe,True,True,True,True,True,True,,True,True,True,,,True,,True,True,True,True,True,,,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,5,Tak,Tak,Tak,,,True,True,True,True,True,True,,,True,True,True,,True,,True,,True,40 TFSI Advanced S tronic,130 g/km,True,True,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,
27,69900,"14:00, 6 stycznia 2021",6081097024,Firmy,Osobowe,Audi,A4,B9 (2015-),2016,159 000 km,1 968 cm3,Diesel,150 KM,Manualna,Na przednie koła,Sedan,5,Inny kolor,Tak,,,,Tak,Używane,True,True,True,True,True,True,,True,True,,,True,,True,True,True,True,True,True,,,,True,True,,True,True,True,,True,True,True,True,,True,,,5,,,,,,,True,True,True,True,,,,True,True,,,True,,True,True,,,,,True,,,,,Tak,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,
28,68999,"13:44, 6 stycznia 2021",6080775672,Osoby prywatnej,Osobowe,Audi,A4,B9 (2015-),2016,150 000 km,1 968 cm3,Diesel,190 KM,Manualna,Na przednie koła,Kombi,5,Czarny,,,Niemcy,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,,,True,5,,,,,Tak,,True,True,True,True,,True,,True,True,,,True,,True,,True,Avant 2.0 TDI ultra,104 g/km,,True,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,169900,"13:29, 6 stycznia 2021",6080981739,Firmy,Osobowe,Audi,A4,B9 (2015-),2019,21 720 km,1 984 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),Sedan,5,Szary,Tak,,Polska,18/10/2020,,Używane,True,True,True,True,True,True,,,True,True,,,True,True,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,4,Tak,Tak,Tak,,Tak,True,True,True,True,True,True,True,,,True,True,,True,,True,,,45 TFSI Quattro S Line S tronic,130 g/km,True,True,,,,Tak,Tak,,True,True,True,,,True,,,True,True,,True,,,,,,,,,,,,,,,,
