,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Elektrochromatyczne lusterko wsteczne,Hak,Komputer pokładowy,Podgrzewane przednie siedzenia,Światła przeciwmgielne,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Czujnik deszczu,Elektryczne szyby tylne,Isofix,Kurtyny powietrzne,Poduszki boczne tylne,Wielofunkcyjna kierownica,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Czujnik zmierzchu,ESP (stabilizacja toru jazdy),Klimatyzacja automatyczna,Podgrzewane lusterka boczne,Relingi dachowe,Emisja CO2,Pierwszy właściciel,Bezwypadkowy,Gniazdo AUX,Ogranicznik prędkości,Poduszki boczne przednie,Światła LED,Bluetooth,Czujniki parkowania przednie,Gniazdo USB,Klimatyzacja dwustrefowa,MP3,System Start-Stop,Czujniki parkowania tylne,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła do jazdy dziennej,Tempomat,Kraj pochodzenia,Klimatyzacja manualna,VAT marża,Możliwość finansowania,Serwisowany w ASO,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Gniazdo SD,Tapicerka skórzana,Światła Xenonowe,Akryl (niemetalizowany),Odtwarzacz DVD,Radio niefabryczne,Tapicerka welurowa,VIN,Perłowy,Kamera cofania,Leasing,Dach panoramiczny,HUD (wyświetlacz przezierny),Asystent parkowania,Regulowane zawieszenie,Szyberdach,Zmieniarka CD,Asystent pasa ruchu,Czujnik martwego pola,Podgrzewana przednia szyba,Podgrzewane tylne siedzenia,Tempomat aktywny,Faktura VAT,Uszkodzony,Łopatki zmiany biegów,Gwarancja dealerska (w cenie),Tuning,Okres gwarancji producenta,Klimatyzacja czterostrefowa,lub do (przebieg km),Miesięczna rata,Filtr cząstek stałych,Tuner TV,Ogrzewanie postojowe,Homologacja ciężarowa,Matowy,Zarejestrowany jako zabytek,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Kierownica po prawej (Anglik),Warranty if agreed with the buyer,
20,79900,"15:59, 7 lutego 2021",6081719236,Firmy,Osobowe,Renault,Clio,1.3 TCe Intens EDC,V (2019-),2020,1 700 km,1 333 cm3,Benzyna,130 KM,Automatyczna,Na przednie koła,Auta miejskie,5,5,Czarny,Tak,,,Tak,Używane,True,True,True,True,True,True,,True,True,True,,True,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,119 g/km,Tak,Tak,True,True,,True,True,True,True,,,True,True,True,,True,True,True,Polska,,,,Tak,,,,,,,,,,,,True,Tak,,,True,,,,True,True,,,True,Tak,,True,,,09/06/2022,,,,,,,,,,,,,,,
21,4500,"15:59, 7 lutego 2021",6081377195,Firmy,Osobowe,Renault,Scenic,,I (1997-2003),2003,220 655 km,1 870 cm3,Diesel,102 KM,Manualna,Na przednie koła,Minivan,5,5,Niebieski,Tak,03/11/2003,,,Używane,True,True,True,True,True,,,,,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,True,True,True,,,Tak,,,True,,,,,,,,,,,,,True,Niemcy,,Tak,,,,,,,,,,,,,Tak,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,15500,"15:55, 7 lutego 2021",6080906015,Osoby prywatnej,Osobowe,Renault,Laguna,2.0 DCi Initiale,III (2007-),2008,286 000 km,1 995 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,Kombi,5,5,Srebrny,Tak,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,188 g/km,,Tak,,True,True,,True,True,,True,True,,True,True,,,True,True,,,,Tak,,True,True,,True,True,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
23,4990,"15:55, 7 lutego 2021",6081719593,Firmy,Osobowe,Renault,Clio,,II (1998-2012),2002,187 321 km,1 149 cm3,Benzyna,58 KM,Manualna,Na przednie koła,Kompakt,3,5,Inny kolor,,,,,Używane,True,True,True,True,,,,,,,True,,True,,,,,,,,True,,,,,,,,,,,Tak,,,True,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,40500,"15:53, 7 lutego 2021",6081719530,Firmy,Osobowe,Renault,Clio,1.5 dCi Energy Alize,IV (2012-2018),2018,11 500 km,1 461 cm3,Diesel,75 KM,Manualna,Na przednie koła,Auta miejskie,5,5,Biały,,,,,Używane,True,True,True,True,,,,,,,True,True,True,,,,True,,,True,True,True,True,,,,,,,85 g/km,,,True,,,,,True,True,,,True,,,,,,True,,True,Tak,,,,,True,True,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,49900,"15:52, 7 lutego 2021",6081291876,Firmy,Osobowe,Renault,Megane,,IV (2016-),2018,134 000 km,1 598 cm3,Diesel,130 KM,Manualna,Na przednie koła,Kombi,5,5,Biały,,23/01/2018,WE790SK,Tak,Używane,True,True,True,,,,,True,,True,True,True,True,,True,True,True,True,,,True,,True,True,True,True,,True,,,Tak,Tak,,,True,,True,,,True,,,True,,,,,True,Polska,,,Tak,Tak,,,,,,Tak,,,True,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,
26,41900,"15:52, 7 lutego 2021",6081467451,Firmy,Osobowe,Renault,Captur,1.5 dCi Energy Zen,I (2013-2019),2016,60 000 km,1 461 cm3,Diesel,90 KM,Manualna,Na przednie koła,Minivan,5,5,Szary,Tak,,,,Używane,True,True,True,True,True,,,True,,True,True,True,True,,,True,True,True,,True,True,True,True,True,,True,,,,95 g/km,,,,True,True,,True,,True,,True,,True,True,,,,True,,True,Tak,Tak,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,13900,"15:50, 7 lutego 2021",6081719060,Osoby prywatnej,Osobowe,Renault,Trafic,2.0 dCi 90 L1H1,II (2001-2014),2008,208 000 km,1 995 cm3,Diesel,90 KM,Manualna,Na przednie koła,Minivan,4,3,Biały,,,,,Używane,True,,,,,,,,,,True,,,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11999,"15:50, 7 lutego 2021",6064878559,Firmy,Osobowe,Renault,Scenic,,II (2003-2009),2008,200 000 km,1 500 cm3,Diesel,100 KM,Manualna,Na przednie koła,Minivan,5,5,Srebrny,Tak,,NOH VD418,,Używane,True,True,True,True,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,,True,True,True,True,True,,Tak,Tak,True,True,True,,True,,,,True,True,True,True,True,True,,True,Niemcy,,Tak,Tak,Tak,True,,,,,,,,True,,Tak,,,True,,,,True,,,,True,,,,,,15 miesięcy,,,True,,,,,,,,,,,,,,
29,16999,"15:49, 7 lutego 2021",6082097971,Firmy,Osobowe,Renault,Laguna,2.0 DCi Dynamique,III (2007-),2008,198 000 km,1 995 cm3,Diesel,150 KM,Manualna,Na przednie koła,Kompakt,5,5,Czarny,Tak,01/10/2008,,,Używane,True,True,True,True,,True,,True,True,True,True,True,True,,True,True,,,,True,True,True,True,True,True,True,True,True,,158 g/km,Tak,Tak,True,,True,,,,,True,,True,True,,True,,,True,Niemcy,,Tak,Tak,Tak,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,191 086 km,,,,,,,,,,,,,
