,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,Możliwość finansowania,Faktura VAT,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Pierwszy właściciel,Serwisowany w ASO,Stan,ABS,Poduszka powietrzna kierowcy,Bluetooth,Klimatyzacja automatyczna,Tempomat,Centralny zamek,Wspomaganie kierownicy,Czujnik deszczu,System Start-Stop,Immobilizer,Alarm,Elektrochromatyczne lusterko wsteczne,Światła LED,VAT marża,Gwarancja dealerska (w cenie),Elektryczne szyby przednie,Czujniki parkowania przednie,Elektryczne szyby tylne,Gniazdo SD,Kurtyny powietrzne,Podgrzewane lusterka boczne,Przyciemniane szyby,Światła do jazdy dziennej,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alufelgi,Czujniki parkowania tylne,ESP (stabilizacja toru jazdy),Gniazdo USB,Klimatyzacja dwustrefowa,MP3,Podgrzewane przednie siedzenia,Relingi dachowe,Wielofunkcyjna kierownica,Radio fabryczne,ASR (kontrola trakcji),Czujnik zmierzchu,Gniazdo AUX,Isofix,Komputer pokładowy,Ogranicznik prędkości,Poduszki boczne przednie,Światła Xenonowe,Tapicerka welurowa,Filtr cząstek stałych,Bezwypadkowy,Asystent parkowania,Klimatyzacja czterostrefowa,Poduszki boczne tylne,Elektrycznie ustawiane fotele,Kamera cofania,Nawigacja GPS,Poduszka powietrzna chroniąca kolana,Światła przeciwmgielne,Odtwarzacz DVD,Podgrzewane tylne siedzenia,Szyberdach,Tapicerka skórzana,Elektrochromatyczne lusterka boczne,Hak,Tempomat aktywny,Podgrzewana przednia szyba,Łopatki zmiany biegów,Zmieniarka CD,Klimatyzacja manualna,Leasing,Asystent pasa ruchu,Czujnik martwego pola,Dach panoramiczny,Perłowy,Kierownica po prawej (Anglik),Ogrzewanie postojowe,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Regulowane zawieszenie,Akryl (niemetalizowany),HUD (wyświetlacz przezierny),Tuner TV,Radio niefabryczne,Opłata początkowa,Miesięczna rata,Liczba pozostałych rat,Wartość wykupu,Tuning,VIN,Matowy,Homologacja ciężarowa,Zarejestrowany jako zabytek
20,18900,"12:48, 7 lutego 2021",6069352302,Firmy,Osobowe,Audi,Q7,,I (2005-2015),2006,206 720 km,3 000 cm3,Diesel,232 KM,Automatyczna,4x4 (dołączany automatycznie),,SUV,5,7,Czarny,Tak,,,Francja,18/09/2006,,,,,Używane,True,True,,True,True,True,True,True,,True,True,True,,Tak,,True,True,True,,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,True,,,,,,True,True,,True,,True,,,True,True,True,,,,True,,,,,,True,,,,Tak,,,,,,,,,,,,,,,,
21,7900,"12:48, 7 lutego 2021",6079721015,Firmy,Osobowe,Audi,A3,2.0 TDI Attraction DSG,8P (2003-2012),2004,371 142 km,1 968 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,,Kompakt,3,5,Czarny,Tak,,,Francja,24/08/2004,,,,,Używane,True,True,,True,True,True,True,True,,True,True,True,,Tak,,True,,,,True,,True,,True,True,True,True,,True,,,,,,,,True,True,True,,True,,True,,,,,,,,,,,,True,,,,True,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,
22,239000,"12:48, 7 lutego 2021",6081459370,Osoby prywatnej,Osobowe,Audi,A5,Sportback 45 TFSI quattro S tronic,F5 (2016-),2020,4 500 km,1 984 cm3,Benzyna,245 KM,Automatyczna,4x4 (stały),147 g/km,Coupe,5,5,Niebieski,Tak,,Tak,,19/08/2020,TST77383,Tak,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,,True,,,True,True,True,,,True,True,True,True,True,True,True,True,True,True,,True,True,,True,True,True,True,,True,True,,True,True,,,Tak,True,True,,True,True,True,,True,,,,,,,True,,,,,,True,True,,,,,,,,,,,,,,,,,,,,,
23,93726,"12:47, 7 lutego 2021",6081822044,Firmy,Osobowe,Audi,Q5,2.0 TFSI Quattro Sport S tronic,FY (2017-),2018,61 900 km,1 984 cm3,Benzyna,252 KM,Automatyczna,4x4 (stały),154 g/km,SUV,5,5,Szary,Tak,,Tak,Niemcy,18/03/2018,,,,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,,,,True,True,True,True,,,True,,True,,,Tak,,,,True,True,,True,,,,,,True,True,,,,,,,,True,True,,,,,Tak,,,,,,,,,,,,,,,,
24,12900,"12:46, 7 lutego 2021",6078508755,Firmy,Osobowe,Audi,A6,3.0 TDI Quattro Tiptr,C6 (2004-2011),2004,208 423 km,2 967 cm3,Diesel,224 KM,Automatyczna,4x4 (dołączany automatycznie),,Sedan,4,5,Szary,Tak,,,Francja,14/05/2004,,,,,Używane,True,True,,True,True,True,True,True,,True,True,True,,Tak,,True,True,True,,True,True,True,,True,True,True,True,True,True,,,,True,,True,True,True,True,,,True,,True,,,,,,,,True,,True,,True,,,,True,True,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,
25,31900,"12:46, 7 lutego 2021",6078508643,Firmy,Osobowe,Audi,RS5,Standard,,2011,77 440 km,4 163 cm3,Benzyna,450 KM,Automatyczna,4x4 (dołączany automatycznie),,Coupe,2,4,Szary,Tak,,,Francja,28/07/2011,,,,,Używane,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,
26,234900,"12:45, 7 lutego 2021",6079693395,Firmy,Osobowe,Audi,Q7,3.0 TDI Quattro Tiptronic,II (2015-),2017,19 852 km,2 967 cm3,Diesel,272 KM,Automatyczna,4x4 (stały),149 g/km,SUV,5,5,Srebrny,Tak,Tak,Tak,Polska,,,,Tak,Tak,Używane,True,True,True,True,True,True,True,True,True,True,True,True,True,,,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,,True,True,,,Tak,,True,True,True,True,True,True,True,,True,,,True,,True,,True,,,Tak,True,,True,,,,,,,,,,,,,,,,,,,,
27,19600,"12:45, 7 lutego 2021",6075859840,Osoby prywatnej,Osobowe,Audi,A8,,D2 (1994-2002),2001,188 000 km,3 600 cm3,Benzyna,260 KM,Automatyczna,4x4 (stały),,Sedan,4,5,Szary,Tak,,,,,,Tak,,,Używane,True,True,,True,True,True,True,,,True,True,True,,,,True,True,True,,True,,,,True,True,True,True,True,True,,True,,True,,True,True,True,,,,True,,True,True,True,,,True,,True,True,,True,,True,,,True,,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,
28,18900,"12:44, 7 lutego 2021",6082095588,Osoby prywatnej,Osobowe,Audi,A6,2.4 Multitronic,C6 (2004-2011),2005,266 000 km,2 393 cm3,Benzyna,177 KM,Automatyczna,Na przednie koła,,Sedan,5,5,Inny kolor,,,,,18/05/2005,CIN40626,Tak,,,Używane,True,True,,True,True,True,True,True,,True,,,,,,True,,True,,,True,True,,True,True,True,True,,True,,True,,True,,,True,True,True,True,,True,True,True,,True,,Tak,,,True,True,,,,True,,,True,,,True,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,
29,26900,"12:44, 7 lutego 2021",6067912478,Osoby prywatnej,Osobowe,Audi,A4,,B8 (2007-2015),2008,300 000 km,2 698 cm3,Diesel,190 KM,Automatyczna,Na przednie koła,,Kombi,5,5,Czarny,,,,Niemcy,,,Tak,,Tak,Używane,True,,True,True,,True,,True,,True,True,,,,,True,,True,,,,,,True,True,,True,True,True,,,,True,,,,True,True,True,,True,True,,,,,Tak,,,,,,True,,,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,265900,"12:43, 7 lutego 2021",6081227880,Firmy,Osobowe,Audi,A6,,C8 (2018-),2021,10 km,1 968 cm3,Diesel,204 KM,Automatyczna,4x4 (stały),,Sedan,4,5,Szary,,,,Polska,,,,,,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,
31,221500,"12:43, 7 lutego 2021",6081227875,Firmy,Osobowe,Audi,S3,,8V (2012-),2021,10 km,1 984 cm3,Benzyna,310 KM,Automatyczna,4x4 (stały),,Sedan,4,5,Czerwony,Tak,,,Polska,,,,,,Nowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
