,price,offer date,ID,Oferta od,Kategoria,Marka pojazdu,Model pojazdu,Wersja,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Emisja CO2,Typ,Liczba drzwi,Liczba miejsc,Kolor,Metalik,VAT marża,Pierwszy właściciel,Bezwypadkowy,Serwisowany w ASO,Stan,ABS,Elektryczne szyby przednie,Poduszka powietrzna kierowcy,Wspomaganie kierownicy,ASR (kontrola trakcji),Czujnik deszczu,ESP (stabilizacja toru jazdy),Hak,Klimatyzacja automatyczna,Kurtyny powietrzne,Odtwarzacz DVD,Podgrzewane lusterka boczne,Poduszki boczne tylne,Światła do jazdy dziennej,Wielofunkcyjna kierownica,CD,Elektrycznie ustawiane lusterka,Poduszka powietrzna pasażera,Alarm,Asystent parkowania,Czujnik zmierzchu,Gniazdo AUX,Isofix,Klimatyzacja dwustrefowa,MP3,Ogranicznik prędkości,Poduszka powietrzna chroniąca kolana,Przyciemniane szyby,Światła przeciwmgielne,Centralny zamek,Immobilizer,Radio fabryczne,Alufelgi,Bluetooth,Elektryczne szyby tylne,Gniazdo SD,Kamera cofania,Komputer pokładowy,Nawigacja GPS,Podgrzewana przednia szyba,Poduszki boczne przednie,System Start-Stop,Tempomat,Możliwość finansowania,Faktura VAT,Leasing,Kraj pochodzenia,Pierwsza rejestracja,Numer rejestracyjny pojazdu,Zarejestrowany w Polsce,Elektrochromatyczne lusterko wsteczne,Czujniki parkowania przednie,Podgrzewane przednie siedzenia,Czujniki parkowania tylne,Gniazdo USB,Klimatyzacja manualna,Filtr cząstek stałych,Tapicerka welurowa,Światła LED,Dach panoramiczny,Relingi dachowe,Elektrochromatyczne lusterka boczne,Elektrycznie ustawiane fotele,Łopatki zmiany biegów,Asystent pasa ruchu,Czujnik martwego pola,Światła Xenonowe,Tempomat aktywny,Perłowy,Tuning,Tapicerka skórzana,Regulowane zawieszenie,Tuner TV,Uszkodzony,Okres gwarancji producenta,lub do (przebieg km),Podgrzewane tylne siedzenia,HUD (wyświetlacz przezierny),Klimatyzacja czterostrefowa,Zmieniarka CD,Szyberdach,Ogrzewanie postojowe,Radio niefabryczne,Gwarancja dealerska (w cenie),VIN,Akryl (niemetalizowany),Miesięczna rata,Matowy,Homologacja ciężarowa,Opłata początkowa,Liczba pozostałych rat,Wartość wykupu,Zarejestrowany jako zabytek,Kierownica po prawej (Anglik)
1531,16000,"07:27, 5 lutego 2021",6081781326,Firmy,Osobowe,Ford,Focus C-Max,,,2008,195 370 km,1 798 cm3,Benzyna+LPG,125 KM,Manualna,Na przednie koła,,Minivan,5,5,Niebieski,Tak,,,,,Używane,True,,,True,,,True,True,,,,,,,True,,True,,,,,,True,,,,,,,True,,True,True,,,,,True,,,True,,True,Tak,,Tak,,02/05/2008,,Tak,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104 PLN,,,,,,,
1532,58900,"07:22, 5 lutego 2021",6081332082,Osoby prywatnej,Osobowe,Ford,S-Max,2.0 TDCi Bi-Turbo,II (2015-),2015,235 000 km,1 998 cm3,Diesel,210 KM,Automatyczna,,,Minivan,5,,Biały,,,,Tak,Tak,Używane,True,True,,True,True,True,True,True,,True,,True,,True,True,True,,,True,True,True,True,True,True,,True,,True,True,True,True,True,True,True,True,,,True,True,True,,True,True,,,,Niemcy,,,,True,True,True,True,True,,,,,,True,True,,,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,
1533,35900,"07:20, 5 lutego 2021",6081083443,Firmy,Osobowe,Ford,Focus,,Mk4 (2018-),2018,35 867 km,999 cm3,Benzyna,125 KM,Manualna,,,Kombi,5,5,Czarny,,Tak,,,,Używane,True,True,True,,True,,True,True,True,True,,,,True,True,,True,True,,,,,True,,True,,,,True,True,True,True,True,True,,,,True,True,,,,True,,,,Inny,30/11/2018,,,,,,True,True,,,,,,True,,,,,,,,,,,,,Tak,,,,,,,,,,,,,,,,,,,,
1534,12500,"07:16, 5 lutego 2021",6081220227,Firmy,Osobowe,Ford,Focus,,Mk2 (2004-2011),2006,128 788 km,1 596 cm3,Benzyna,100 KM,Manualna,Na przednie koła,,Kompakt,5,5,Czarny,Tak,,,,Tak,Używane,True,,,True,,,,,,,,,,,,,True,,,,,,,,,,,,,True,,True,,,,,,,,True,True,,,Tak,,Tak,Polska,22/08/2006,,Tak,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92 PLN,,,,,,,
1535,36000,"07:15, 5 lutego 2021",6081220222,Firmy,Osobowe,Ford,Focus,,Mk3 (2010-),2016,115 296 km,1 498 cm3,Diesel,95 KM,Manualna,Na przednie koła,,Kombi,5,5,Czerwony,,,Tak,Tak,Tak,Używane,True,,,True,True,True,True,,,,,,,True,True,,True,,True,True,True,,True,,,,,,True,True,,True,,True,True,,,True,,True,True,,,Tak,Tak,Tak,Polska,21/07/2016,,Tak,,True,,,True,True,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,214 PLN,,,,,,,
1536,22900,"07:10, 5 lutego 2021",6081607433,Osoby prywatnej,Osobowe,Ford,Focus,1.6 TDCi Ambiente,Mk3 (2010-),2011,156 400 km,1 560 cm3,Diesel,95 KM,Manualna,Na przednie koła,109 g/km,Kompakt,5,5,Czarny,Tak,,,,,Używane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DZA3W40,Tak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1537,35900,"07:05, 5 lutego 2021",6080187084,Firmy,Osobowe,Ford,Kuga,2.0 TDCi FWD Titanium,I (2008-2012),2010,220 111 km,1 997 cm3,Diesel,140 KM,Automatyczna,Na przednie koła,,SUV,5,5,Inny kolor,,Tak,,Tak,Tak,Używane,True,True,True,True,,True,,,,,,True,,,True,True,True,True,,,True,,True,True,True,True,,True,True,True,True,True,True,True,True,True,,,True,True,,,True,,,,,,,,True,True,True,,True,,,,,,True,,True,,,,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,
1538,28999,"06:55, 5 lutego 2021",6081781078,Firmy,Osobowe,Ford,C-MAX,1.0 EcoBoost Start-Stopp-System,II (2010-),2014,105 000 km,998 cm3,Benzyna,125 KM,Manualna,Na przednie koła,117 g/km,Minivan,5,5,Szary,Tak,Tak,Tak,,,Używane,True,True,True,True,True,,True,True,True,,,True,,,True,True,True,True,True,True,,True,True,,,,,,True,True,True,True,True,,,,,,,,,,True,,,,,,,,,,True,True,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1539,48900,"06:12, 5 lutego 2021",6080882415,Osoby prywatnej,Osobowe,Ford,Mondeo,2.0 TDCi Titanium PowerShift,Mk5 (2014-),2015,227 000 km,1 997 cm3,Diesel,150 KM,Automatyczna,Na przednie koła,120 g/km,Kombi,5,5,Szary,Tak,Tak,,Tak,Tak,Używane,True,True,True,True,True,True,True,,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Tak,,,Francja,09/07/2015,GKA74582,Tak,True,True,True,True,True,,Tak,True,,,True,True,,True,True,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,
1540,13900,"05:53, 5 lutego 2021",6075987903,Firmy,Osobowe,Ford,Fiesta,1.25 Ambiente,Mk7 (2008-),2008,151 000 km,1 242 cm3,Benzyna,60 KM,Manualna,Na przednie koła,128 g/km,Auta miejskie,3,5,Niebieski,Tak,Tak,,Tak,Tak,Używane,True,True,True,True,,,True,,,,,,,True,True,True,True,True,True,,,True,True,,,,,True,,True,True,True,True,True,,True,,,,,True,,,,,,Niemcy,,,,,,,,True,True,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
